"X","M","N","Y"
"I",8.87904870689557,6.74340129492188,5.35398733708086
"I",9.53964502103344,9.10369519171685,8.68786063567765
"I",13.1174166282982,11.0654077316838,8.53461502854724
"I",10.1410167828492,8.68323432426687,13.0211462549439
"I",10.2585754703219,9.00849693462338,11.4244209312334
"I",13.4301299737666,10.0567433522817,7.81052618587504
"I",10.9218324119784,12.5974065009675,11.7916368303693
"I",7.46987753078693,7.77662376645996,6.84331305921352
"I",8.62629429621295,6.35002042218905,7.90995065886169
"I",9.10867605980008,11.6163059019399,11.4495677689963
"C",22.4481635948789,23.3010920378326,23.8077290658221
"C",20.7196276541147,20.1294846881302,20.0723911774328
"C",20.8015429011881,22.5917942232781,22.5060533086955
"C",20.2213654318902,21.9776324069563,24.7148369749852
"C",18.8883177304918,20.5314798937668,20.0799379224483
"C",23.5738262736062,24.9511067818063,27.9840479906654
"C",20.9957009564585,22.1035362635337,19.0060306550732
"C",16.0667656867407,15.9429422655873,17.1121697648594
"C",21.4027118031274,20.7907864756475,21.0384949633368
"C",19.0544171845441,18.2934751825194,18.7253583200073
