test;studietid;gruppe
18,3690622012466;35,7555599873311;0
20,3019174673314;36,5505390477731;0
19,6073531309989;35,4068940217371;0
17,9477279026231;36,6896345268849;0
15,1149665712977;35,7144984272974;0
22,3075662694246;38,6207447232472;0
19,4805038857289;37,3600489712206;0
19,4456973408536;37,5922090753943;0
18,4644317869207;36,9610224293916;0
19,8714357558552;38,5186112966233;0
17,6713071295070;35,7371162552612;0
18,4778467336891;35,9460263235673;0
18,6290732503518;38,2187386862500;0
16,2153327349568;35,7191643760276;0
19,3109774747847;36,2511431076776;0
19,8380092729343;36,0286304846696;0
17,6875155958002;36,1160085577418;0
16,5785843114848;36,1650640364281;0
19,3172025655741;37,0930259975214;0
18,0899507463655;36,2872034212765;0
15,8665634345416;35,8928510454629;0
19,0583815267186;38,1116465902045;0
17,3648919541581;36,2425047097438;0
17,7331037861415;36,2845321639479;0
16,8019987201088;36,3797711105437;0
20,8413700737318;37,3551995684617;0
17,8085029138547;36,4117227150484;0
16,3008034024161;36,4548389942395;0
18,0776358392340;35,6820074254932;0
18,3712486123388;36,1108756733044;0
17,1031042237696;36,5721925285214;0
14,4299585022287;35,7933266164884;0
17,8003196725014;37,1377954311591;0
18,0235727140325;34,6779271018559;0
18,3622667852227;36,8678694329477;0
17,2103156130712;34,6562602117549;0
18,7423991982422;36,1388286477961;0
16,5092816910376;35,8660641146660;0
19,1748755847205;35,7174862631828;0
18,2094490993578;36,4317238665831;0
17,9501571454697;34,2027686891840;0
20,1968792688961;37,9118999744223;0
17,5191930361712;34,5020330765456;0
16,9174326236773;35,9437635182331;0
18,9760054041351;35,1608958739486;0
15,3993106655414;35,5990171985679;0
18,8485510393749;39,0045998547540;0
17,9536325208276;36,5208747436319;0
17,2788744376214;34,9564393634788;0
18,4901933698898;34,5312733586977;0
18,6835785324869;37,0402245215272;0
18,7274652244798;36,4777282007424;0
17,9755731996582;36,1183179505474;0
17,3951855015846;35,3847654230556;0
18,1921847818587;34,7150476278302;0
18,9803586506896;35,2097692440612;0
15,9663018243581;37,7000345644567;0
18,5645274494169;35,7544799662438;0
17,8690131797037;34,8386877831386;0
18,8612531075869;38,7431487469083;0
19,6462755955156;37,0101204528469;0
17,6397271213901;36,2136234789044;0
18,5438930350659;37,7701796584508;0
19,8107453245207;37,5637071816499;0
