id;group;baseline;post
1;control;53,3518189728657;54,9442424943340
2;control;52,2570904058485;49,8089848328455
3;control;46,5965198669215;47,9609986326192
4;control;30,0851864330930;25,5677340487698
5;control;50,9586059831577;56,6907007899618
6;control;45,5509700837680;53,4725696777914
7;control;44,7536359463574;43,2847500404913
8;control;34,2339809288058;30,0574424235397
9;control;42,1747995591310;44,4536780689007
10;control;49,3435324815976;48,8033140660743
11;control;56,8694364122324;66,4759074542515
12;control;45,1776981812560;45,0207381703234
13;control;49,1013728924750;51,8603303422781
14;control;45,5695596753368;45,6815683104594
15;control;34,9835235453711;32,0104307098415
16;treatment;42,6800434936026;45,4352126916599
17;treatment;42,8456803703172;37,6258458547531
18;treatment;45,5254928263105;53,3877122725621
19;treatment;54,8002029758711;57,4132163287187
20;treatment;52,1054059876604;62,7958526691090
21;treatment;44,6838112299713;48,5858493455700
22;treatment;43,9731065589079;43,1333208352207
23;treatment;51,5757070032379;56,0186124171941
24;treatment;50,4533055893893;48,7169150628123
25;treatment;40,4899544436038;37,4754208426474
26;treatment;40,3400387443030;43,5058236863729
27;treatment;48,9166556970946;49,1434882042209
28;treatment;52,1482633961233;54,1526848026498
29;treatment;45,1012303027982;47,3985955994048
30;treatment;53,0488618116337;52,6907780268814
