id;group;baseline;post
1;control;36,8819814046335;39,5502460716955
2;control;40,7833924638855;42,9487018077403
3;control;52,6027829691588;52,5491848765752
4;control;28,2878987961321;30,3283324879438
5;control;47,3455156886558;46,6880123615771
6;control;44,9965533409217;46,6793319139397
7;control;51,5678985354873;49,9669115595767
8;control;39,2623446872913;33,7815131771015
9;control;45,3301692892466;49,2815223590661
10;control;44,4038891169501;50,4828692189483
11;control;37,1173197210751;35,8823574441727
12;control;52,8708102538485;47,8576512314178
13;control;52,4436235412546;55,0125887639659
14;control;48,3019228456350;48,1230862980591
15;control;56,2815010908676;49,3486274635683
16;control;47,0263778300877;47,0349052688088
17;control;30,5106701238777;27,9894687881651
18;control;36,8406112718680;35,4767369524264
19;control;30,9784864659148;26,3521970153714
20;control;37,7393942720462;44,9519619037161
21;control;36,4166999049829;35,0921717594180
22;control;42,3790428582981;35,9569892092858
23;control;33,8017051630280;34,5904789179859
24;control;43,4222589516367;44,4749615372586
25;control;36,1087382047306;32,1654314030935
26;control;57,9055854243538;46,3499027376356
27;control;48,4503672841549;45,8884404738944
28;control;50,1915680654570;52,4735986091390
29;control;45,4576682204371;45,2187751162667
30;control;57,1395847246748;56,7468697486538
31;control;36,2783719144592;38,5216548289397
32;control;37,8451974267549;33,0993628724370
33;control;54,8905401468750;59,2776483239719
34;control;36,1437328202067;36,1223567070940
35;control;40,1335733075823;42,9628159771746
36;control;38,4647286350221;42,6011595739720
37;control;39,1200641830634;40,0139858427247
38;control;39,4879802732110;35,9731498217469
39;control;46,4476949814104;51,0995532052798
40;control;40,4040256595735;32,4033658804316
41;control;37,4463828409717;35,2672198809648
42;control;54,0873494265337;53,0646665899057
43;control;40,0687853230782;39,4043011760182
44;control;40,3839912296095;44,4658468647459
45;control;41,0982833290779;41,6431709014891
46;control;48,4139967634626;50,0426671771580
47;control;41,3379203628631;41,0593011108114
48;control;41,6612924567966;40,6706350903192
49;control;35,8650556911991;38,6472589176776
50;control;39,0815675497831;43,6664809786463
51;control;42,5414439639106;32,9290591043432
52;control;36,6999496236630;38,9909078446464
53;control;46,7834657336931;48,2823633608078
54;control;28,3344532639189;26,6333823776946
55;control;44,7590207471079;48,5630719774152
56;control;28,1719515881617;26,6150028612882
57;control;39,2912148584705;38,1538922112722
58;control;37,2454808599949;40,6751199723142
59;control;36,1311469738710;43,0096561703534
60;control;41,4879289993735;42,5681486031224
61;control;24,7707651688799;23,0820291297293
62;control;52,5892498081671;47,8327966287287
63;control;27,0152480740920;25,6911161585759
64;treatment;37,8282263867485;36,0689090807084
65;treatment;31,9567190546144;32,9209887221393
66;treatment;35,2426289892590;38,8201456621453
67;treatment;60,7844989106551;59,3770705425597
68;treatment;42,1565605772393;54,7532281016188
69;treatment;30,4232952260911;33,0473419287514
70;treatment;27,2345501902328;33,7553792600526
71;treatment;46,0516839114539;38,8951879920935
72;treatment;41,8329615055683;46,7969661343500
73;treatment;39,1373846291054;35,8724039872992
74;treatment;33,6357406729167;39,3149553833533
75;treatment;28,6128572087266;32,2053778305345
76;treatment;32,3232693304589;32,6931550133798
77;treatment;51,0002592334252;58,2972937541343
78;treatment;36,4085997468286;35,6036730698409
79;treatment;29,5401583735396;29,2177011565774
80;treatment;58,8236156018122;56,8193268777105
81;treatment;45,8259033963520;45,1531889693385
82;treatment;39,8521760917827;45,6329159052750
83;treatment;51,5263474383812;55,2611560365618
84;treatment;49,9778038623744;55,9984407330826
85;treatment;36,4268125659197;36,8663379097050
86;treatment;61,8549221808642;65,3604033479628
87;treatment;39,7047567287309;42,6814164266768
88;treatment;29,1795481480847;25,4745187785546
89;treatment;40,7004035824120;49,8141207323138
90;treatment;43,8678450530911;46,4056356968258
91;treatment;62,7718055915343;67,8342015881657
92;treatment;42,9522213110434;48,7727680186793
93;treatment;46,1129892488107;47,9107264430416
94;treatment;41,3056235817912;42,0823619027233
95;treatment;38,9939924187011;44,5686872284031
96;treatment;41,6874657451985;39,4982731489533
97;treatment;49,0887564506715;58,9741059955681
98;treatment;60,6772050778706;61,1426766527171
99;treatment;51,2465319488739;59,8631131579739
100;treatment;52,8711755854803;60,9200263612829
101;treatment;30,9180892059776;33,2499521403213
102;treatment;50,8550601304804;55,1239437898864
103;treatment;43,9793232329459;41,8811293148080
104;treatment;28,7947497381698;32,0867757502596
105;treatment;46,6892046838332;52,8636545172580
106;treatment;40,5712085575559;42,9675225051447
107;treatment;55,1812858077282;55,3647381711107
108;treatment;35,1052620035580;34,4821345937563
109;treatment;38,1280942146431;39,9844045241530
110;treatment;33,6650145236031;39,9416603663102
111;treatment;40,4060643470711;40,4701646258660
112;treatment;45,6181060153770;47,1340655700673
113;treatment;35,4142664419235;32,2377064266402
114;treatment;49,4733585118351;53,4506098558945
115;treatment;31,1272549232598;38,3588610037164
116;treatment;32,5681402847303;40,5563043223415
117;treatment;54,9704193615985;60,2292302851880
118;treatment;32,8573728122582;27,3782176514477
119;treatment;45,7077724108576;49,6358904273527
120;treatment;38,5703155400197;42,3948579532245
121;treatment;45,6846165568584;46,2710154135388
122;treatment;57,1998595758364;59,8818174596283
123;treatment;56,2792959009777;54,8231520844701
124;treatment;39,0218297938551;43,7387528899177
125;treatment;21,4328801823678;22,1244761237554
126;treatment;64,4789543085075;60,2026255679317
