id;group;baseline;post
1;control;24,0767233005401;23,7489013870680
2;control;63,1400216719805;66,6671256775504
3;control;43,6445699896786;45,1697430145153
4;control;45,7002116130581;47,9230737745194
5;control;48,3068166769804;46,4604027713207
6;control;56,1221817398913;56,4508654167472
7;control;56,7834017722270;59,0930521464215
8;control;55,6795197247167;55,5664768756637
9;control;44,2745739607387;40,0158526642694
10;treatment;36,3670874372166;39,0567789614155
11;treatment;46,1127775566210;44,3028666654499
12;treatment;52,7791413245054;53,1568010182250
13;treatment;41,7691887842798;46,4171974268790
14;treatment;49,3115906552154;52,5428643538207
15;treatment;38,3233767387020;42,5067146497727
16;treatment;49,9169098578439;52,5301195808712
17;treatment;51,2885540159741;53,0682364910083
18;treatment;48,5412437153900;48,6926181691354
